MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
27299286,21-05-2023 01:00,229.14 V,231.01 V,232 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 01:30,230.27 V,232.77 V,233.2 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 02:00,230.82 V,233.92 V,233.94 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 02:30,232.39 V,235.26 V,235.37 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 03:00,231.75 V,234.19 V,234.69 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 03:30,232.44 V,234.65 V,235.11 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 04:00,233.62 V,235.61 V,235.88 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 04:30,235.04 V,236.67 V,237.01 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 05:00,235.13 V,237.11 V,237.53 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 05:30,234.31 V,236.78 V,237.11 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 06:00,234.84 V,236.68 V,236.85 V,1.02 A,1.12 A,1.09 A,0.04 kWh Abs,0.27 kVArh+ Abs,0.11 kVArh- Abs,0.2 kVAh Abs,0.2,1,2
27299286,21-05-2023 06:30,235.77 V,237.22 V,237.55 V,1.45 A,1.61 A,1.53 A,0.26 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.55 kVAh Abs,0.473,1,2
27299286,21-05-2023 07:00,236.27 V,238.01 V,238.31 V,1.94 A,2.1 A,1.97 A,0.54 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.71 kVAh Abs,0.761,1,2
27299286,21-05-2023 07:30,234.72 V,236.78 V,236.98 V,2.63 A,2.76 A,2.6 A,0.82 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.95 kVAh Abs,0.863,1,2
27299286,21-05-2023 08:00,234.32 V,235.73 V,235.49 V,3.54 A,3.64 A,3.46 A,1.17 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,1.25 kVAh Abs,0.936,1,2
27299286,21-05-2023 08:30,234.1 V,235.05 V,235.14 V,4.66 A,4.76 A,4.56 A,1.58 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.64 kVAh Abs,0.963,1,2
27299286,21-05-2023 09:00,233.63 V,234.84 V,234.71 V,5.99 A,6.09 A,5.87 A,2.06 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,2.11 kVAh Abs,0.976,1,2
27299286,21-05-2023 09:30,233.84 V,234.88 V,235.42 V,10.46 A,10.56 A,10.33 A,3.66 kWh Abs,0.39 kVArh+ Abs,0 kVArh- Abs,3.68 kVAh Abs,0.995,1,2
27299286,21-05-2023 10:00,232.94 V,233.56 V,233.82 V,13.74 A,13.82 A,13.59 A,4.79 kWh Abs,0.35 kVArh+ Abs,0 kVArh- Abs,4.81 kVAh Abs,0.996,1,2
27299286,21-05-2023 10:30,232.81 V,232.93 V,233.56 V,17.08 A,17.16 A,16.91 A,5.96 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,5.96 kVAh Abs,1,1,2
27299286,21-05-2023 11:00,232.26 V,232.25 V,233.04 V,19.45 A,19.54 A,19.25 A,6.77 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,6.78 kVAh Abs,0.999,1,2
27299286,21-05-2023 11:30,232.47 V,231.75 V,232.34 V,20.74 A,20.86 A,20.57 A,7.21 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,7.22 kVAh Abs,0.999,1,2
27299286,21-05-2023 12:00,232.67 V,232.24 V,232.72 V,22.98 A,23.14 A,22.83 A,8.02 kWh Abs,0.27 kVArh+ Abs,0 kVArh- Abs,8.02 kVAh Abs,1,1,2
27299286,21-05-2023 12:30,233.64 V,233.09 V,232.78 V,23.58 A,23.75 A,23.44 A,8.25 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,8.25 kVAh Abs,1,1,2
27299286,21-05-2023 13:00,233.68 V,233.29 V,233.29 V,22.47 A,22.65 A,22.34 A,7.87 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,7.88 kVAh Abs,0.999,1,2
27299286,21-05-2023 13:30,233.97 V,233.68 V,234 V,20.68 A,20.86 A,20.55 A,7.26 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,7.26 kVAh Abs,1,1,2
27299286,21-05-2023 14:00,232.72 V,233.45 V,233.82 V,19.68 A,19.82 A,19.52 A,6.88 kWh Abs,0.3 kVArh+ Abs,0 kVArh- Abs,6.89 kVAh Abs,0.999,1,2
27299286,21-05-2023 14:30,232.74 V,232.2 V,233.22 V,19.2 A,19.35 A,19.07 A,6.7 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,6.71 kVAh Abs,0.999,1,2
27299286,21-05-2023 15:00,233.09 V,232.1 V,233.06 V,16.54 A,16.68 A,16.45 A,5.77 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,5.78 kVAh Abs,0.998,1,2
27299286,21-05-2023 15:30,231.92 V,231.94 V,232.4 V,12.73 A,12.85 A,12.65 A,4.43 kWh Abs,0.36 kVArh+ Abs,0 kVArh- Abs,4.44 kVAh Abs,0.998,1,2
27299286,21-05-2023 16:00,230.75 V,230.53 V,231 V,9.99 A,10.12 A,9.92 A,3.45 kWh Abs,0.38 kVArh+ Abs,0 kVArh- Abs,3.47 kVAh Abs,0.994,1,2
27299286,21-05-2023 16:30,231.59 V,231.79 V,232.89 V,8.25 A,8.41 A,8.19 A,2.86 kWh Abs,0.4 kVArh+ Abs,0 kVArh- Abs,2.89 kVAh Abs,0.99,1,2
